,batch,name,start_time,end_time,duration,duration_string,parent,isLeaf
0,2017-11-22_xf177501_xfrun_build9,xfrun,2017-11-20T12:58:06,2017-11-22T08:05:58,155272.0,1 day 19 hr 7 min 52.0 sec,,False
1,2017-11-22_xf177501_xfrun_build9,capture,2017-11-20T12:58:06,2017-11-20T14:54:36,6990.0,1 hr 56 min 30.0 sec,xfrun,True
2,2017-11-22_xf177501_xfrun_build9,postproc,2017-11-20T14:54:36,2017-11-20T16:04:55,4219.0,1 hr 10 min 19.0 sec,xfrun,False
3,2017-11-22_xf177501_xfrun_build9,mod_rxnfiles,2017-11-20T14:54:36,2017-11-20T14:55:00,24.0,24.0 sec,postproc,True
4,2017-11-22_xf177501_xfrun_build9,post_citat,2017-11-20T14:55:00,2017-11-20T15:20:04,1504.0,25 min 4.0 sec,postproc,True
5,2017-11-22_xf177501_xfrun_build9,post_facts,2017-11-20T15:20:04,2017-11-20T15:29:13,549.0,9 min 9.0 sec,postproc,True
6,2017-11-22_xf177501_xfrun_build9,post_react,2017-11-20T15:29:13,2017-11-20T15:33:44,271.0,4 min 31.0 sec,postproc,True
7,2017-11-22_xf177501_xfrun_build9,post_nrefs,2017-11-20T15:33:44,2017-11-20T16:04:55,1871.0,31 min 11.0 sec,postproc,True
8,2017-11-22_xf177501_xfrun_build9,struc,2017-11-20T16:04:55,2017-11-22T08:05:58,144063.0,1 day 16 hr 1 min 3.0 sec,xfrun,False
9,2017-11-22_xf177501_xfrun_build9,sdf_filter,2017-11-20T16:04:55,2017-11-20T16:16:15,680.0,11 min 20.0 sec,struc,True
10,2017-11-22_xf177501_xfrun_build9,sdf_split,2017-11-20T16:16:15,2017-11-20T16:17:29,74.0,1 min 14.0 sec,struc,True
11,2017-11-22_xf177501_xfrun_build9,sdf_limit,2017-11-20T16:17:29,2017-11-20T16:29:02,693.0,11 min 33.0 sec,struc,True
12,2017-11-22_xf177501_xfrun_build9,sdf_wrap,2017-11-20T16:29:02,2017-11-20T16:30:06,64.0,1 min 4.0 sec,struc,True
13,2017-11-22_xf177501_xfrun_build9,sdf_prepare,2017-11-20T16:30:06,2017-11-20T16:30:08,2.0,2.0 sec,struc,True
14,2017-11-22_xf177501_xfrun_build9,sdf_index,2017-11-20T16:30:08,2017-11-20T16:35:18,310.0,5 min 10.0 sec,struc,True
15,2017-11-22_xf177501_xfrun_build9,rsdf_filter,2017-11-20T16:35:18,2017-11-20T17:03:36,1698.0,28 min 18.0 sec,struc,True
16,2017-11-22_xf177501_xfrun_build9,rsdf_build,2017-11-20T17:03:36,2017-11-20T17:22:32,1136.0,18 min 56.0 sec,struc,True
17,2017-11-22_xf177501_xfrun_build9,rsdf_maps,2017-11-20T17:22:32,2017-11-20T19:11:05,6513.0,1 hr 48 min 33.0 sec,struc,True
18,2017-11-22_xf177501_xfrun_build9,rsdf_repack,2017-11-20T19:11:05,2017-11-20T19:50:10,2345.0,39 min 5.0 sec,struc,True
19,2017-11-22_xf177501_xfrun_build9,rsdf_index,2017-11-20T19:50:10,2017-11-20T19:58:24,494.0,8 min 14.0 sec,struc,True
20,2017-11-22_xf177501_xfrun_build9,fct_mix,2017-11-20T19:58:24,2017-11-20T21:03:58,3934.0,1 hr 5 min 34.0 sec,struc,True
21,2017-11-22_xf177501_xfrun_build9,makefa,2017-11-20T21:03:58,2017-11-20T22:26:58,4980.0,1 hr 23 min,struc,True
22,2017-11-22_xf177501_xfrun_build9,cit_mix,2017-11-20T22:26:58,2017-11-20T23:14:14,2836.0,47 min 16.0 sec,struc,True
23,2017-11-22_xf177501_xfrun_build9,cit_refs,2017-11-20T23:14:14,2017-11-21T00:18:02,3828.0,1 hr 3 min 48.0 sec,struc,True
24,2017-11-22_xf177501_xfrun_build9,cit_substit,2017-11-21T00:18:02,2017-11-21T01:07:17,2955.0,49 min 15.0 sec,struc,True
25,2017-11-22_xf177501_xfrun_build9,cit_satellites,2017-11-21T01:07:17,2017-11-21T01:16:25,548.0,9 min 8.0 sec,struc,True
26,2017-11-22_xf177501_xfrun_build9,ranks,2017-11-21T01:16:25,2017-11-21T03:14:40,7095.0,1 hr 58 min 15.0 sec,struc,True
27,2017-11-22_xf177501_xfrun_build9,postproc,2017-11-21T03:14:40,2017-11-21T12:47:25,34365.0,9 hr 32 min 45.0 sec,struc,False
28,2017-11-22_xf177501_xfrun_build9,get_vocab.sh,2017-11-21T03:14:40,2017-11-21T03:58:53,2653.0,44 min 13.0 sec,postproc,True
29,2017-11-22_xf177501_xfrun_build9,filter_targets,2017-11-21T03:58:53,2017-11-21T03:58:57,4.0,4.0 sec,postproc,True
30,2017-11-22_xf177501_xfrun_build9,split_points,2017-11-21T03:58:57,2017-11-21T04:00:18,81.0,1 min 21.0 sec,postproc,True
31,2017-11-22_xf177501_xfrun_build9,all_points,2017-11-21T04:00:18,2017-11-21T04:44:41,2663.0,44 min 23.0 sec,postproc,False
32,2017-11-22_xf177501_xfrun_build9,run_bucket,2017-11-21T04:01:53,2017-11-21T04:03:34,101.0,1 min 41.0 sec,all_points,False
33,2017-11-22_xf177501_xfrun_build9,datapoints,2017-11-21T04:01:53,2017-11-21T04:03:34,101.0,1 min 41.0 sec,run_bucket,False
34,2017-11-22_xf177501_xfrun_build9,:load,2017-11-21T04:01:53,2017-11-21T04:03:12,79.0,1 min 19.0 sec,datapoints,True
35,2017-11-22_xf177501_xfrun_build9,:points,2017-11-21T04:03:12,2017-11-21T04:03:12,0.0,,datapoints,True
36,2017-11-22_xf177501_xfrun_build9,run_bucket,2017-11-21T04:01:53,2017-11-21T04:05:48,234.0,3 min 54.0 sec,all_points,False
37,2017-11-22_xf177501_xfrun_build9,datapoints,2017-11-21T04:01:53,2017-11-21T04:05:47,234.0,3 min 54.0 sec,run_bucket,False
38,2017-11-22_xf177501_xfrun_build9,:load,2017-11-21T04:01:53,2017-11-21T04:05:19,206.0,3 min 26.0 sec,datapoints,True
39,2017-11-22_xf177501_xfrun_build9,:points,2017-11-21T04:05:19,2017-11-21T04:05:22,3.0,3.0 sec,datapoints,True
40,2017-11-22_xf177501_xfrun_build9,run_bucket,2017-11-21T04:03:34,2017-11-21T04:08:11,277.0,4 min 37.0 sec,all_points,False
41,2017-11-22_xf177501_xfrun_build9,datapoints,2017-11-21T04:03:34,2017-11-21T04:08:11,277.0,4 min 37.0 sec,run_bucket,False
42,2017-11-22_xf177501_xfrun_build9,:load,2017-11-21T04:03:34,2017-11-21T04:07:42,248.0,4 min 8.0 sec,datapoints,True
43,2017-11-22_xf177501_xfrun_build9,:points,2017-11-21T04:07:42,2017-11-21T04:07:43,1.0,1.0 sec,datapoints,True
44,2017-11-22_xf177501_xfrun_build9,run_bucket,2017-11-21T04:05:48,2017-11-21T04:09:17,209.0,3 min 29.0 sec,all_points,False
