batch,parent,phase,name,start_time,end_time,duration,duration_string
2023-10-04_xf230621_xfrun_build3,,complete,db fabrication,2023-10-01T04:57:37.971000,2023-10-04T09:10:54.156000,274396.185,3 day 4 hr 13 min 16.2 sec
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 1 - download fab packages,install fabrication package,2023-10-01T04:57:37.971000,2023-10-01T04:57:45.871000,7.9,7.9 sec
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 1 - download fab packages,install STN package,2023-10-01T04:57:37.971000,2023-10-01T04:57:38.371000,0.4,0.4 sec
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 1a - download pat sight data,fetch patent sight data,2023-10-01T04:57:45.871000,2023-10-01T04:57:46.871000,1.0,1 sec
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 2 - delete old fabrication relicts,remove old databases and logfiles,2023-10-01T04:57:46.871000,2023-10-01T04:57:51.571000,4.7,4.7 sec
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 3 - try to remove unused disks,check for disk shrink potential,2023-10-01T04:57:51.571000,2023-10-01T04:57:51.961000,0.39,0.39 sec
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 4 - check previous db,check previous db,2023-10-01T04:57:51.961000,2023-10-01T04:57:52.781000,0.82,0.82 sec
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 5 - prepare environment,update further files,2023-10-01T04:57:52.781000,2023-10-01T04:58:23.781000,31.0,31 sec
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 5 - prepare environment,copy db export to fabrication instance,2023-10-01T04:57:52.781000,2023-10-01T05:04:21.781000,389.0,6 min 29 sec
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 5 - prepare environment,roll out compound taxonomy,2023-10-01T04:57:52.781000,2023-10-01T04:58:02.681000,9.9,9.9 sec
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 6 - check for potentially missing availability and phpend,check for missing availability and phpend files,2023-10-01T05:04:21.781000,2023-10-01T05:06:22.781000,121.0,2 min 1 sec
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 7a - xfire db fabrication init,xfire db fabrication init,2023-10-01T05:06:22.781000,2023-10-01T05:06:52.781000,30.0,30 sec
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 7b - build xfire db data  merge,xfire db fabrication data merge,2023-10-01T05:06:52.781000,2023-10-02T15:06:52.781000,122400.0,1 day 10 hr
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 7c - build xfire db data  merge,xfire db fabrication wrapper structure search,2023-10-02T15:06:52.781000,2023-10-03T05:06:52.781000,50400.0,14 hr
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 7c - build xfire db data  merge,xfire db fabrication summus,2023-10-02T15:06:52.781000,2023-10-04T00:06:52.781000,118800.0,1 day 9 hr
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 8 - create db package,create db package (mkpack),2023-10-04T00:06:52.781000,2023-10-04T01:02:52.781000,3360.0,56 min
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 9 - report xf finish,report xf fab finish,2023-10-04T01:02:52.781000,2023-10-04T01:02:54.681000,1.9,1.9 sec
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 10 - start database test,start database testing,2023-10-04T01:02:54.681000,2023-10-04T03:38:54.681000,9360.0,2 hr 36 min
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 11 - start next export,prepare start next export,2023-10-04T03:38:54.681000,2023-10-04T03:38:54.681000,0.0,18 ms
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 12 - flatfiles and db statistics,prepare patent substance statistics,2023-10-04T03:38:54.681000,2023-10-04T06:14:54.681000,9360.0,2 hr 36 min
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 12 - flatfiles and db statistics,prepare database record statistics,2023-10-04T03:38:54.681000,2023-10-04T07:21:54.681000,13380.0,3 hr 43 min
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 12 - flatfiles and db statistics,prepare document statistics,2023-10-04T03:38:54.681000,2023-10-04T08:22:54.681000,17040.0,4 hr 44 min
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 12 - flatfiles and db statistics,create STN,2023-10-04T03:38:54.681000,2023-10-04T06:19:54.681000,9660.0,2 hr 41 min
2023-10-04_xf230621_xfrun_build3,start db fabrication,step 13 - move to Glacier,refresh lifecycle policy for old build artifacts,2023-10-04T08:22:54.681000,2023-10-04T08:24:43.681000,109.0,1 min 49 sec
2023-10-08_xf230631_xfrun_build4,,complete,db fabrication,2023-10-05T13:43:25.741000,2023-10-08T19:19:20.838000,279355.097,3 day 5 hr 35 min 55.1 sec
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 1 - download fab packages,install fabrication package,2023-10-05T13:43:25.741000,2023-10-05T13:43:33.241000,7.5,7.5 sec
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 1 - download fab packages,install STN package,2023-10-05T13:43:25.741000,2023-10-05T13:43:26.131000,0.39,0.39 sec
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 1a - download pat sight data,fetch patent sight data,2023-10-05T13:43:33.241000,2023-10-05T13:43:34.231000,0.99,0.99 sec
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 2 - delete old fabrication relicts,remove old databases and logfiles,2023-10-05T13:43:34.231000,2023-10-05T13:43:37.931000,3.7,3.7 sec
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 3 - try to remove unused disks,check for disk shrink potential,2023-10-05T13:43:37.931000,2023-10-05T13:43:38.331000,0.4,0.4 sec
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 4 - check previous db,check previous db,2023-10-05T13:43:38.331000,2023-10-05T13:43:39.151000,0.82,0.82 sec
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 5 - prepare environment,copy db export to fabrication instance,2023-10-05T13:43:39.151000,2023-10-05T13:50:00.151000,381.0,6 min 21 sec
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 5 - prepare environment,roll out compound taxonomy,2023-10-05T13:43:39.151000,2023-10-05T13:43:49.151000,10.0,10 sec
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 5 - prepare environment,update further files,2023-10-05T13:43:39.151000,2023-10-05T13:44:11.151000,32.0,32 sec
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 6 - check for potentially missing availability and phpend,check for missing availability and phpend files,2023-10-05T13:50:00.151000,2023-10-05T13:52:01.151000,121.0,2 min 1 sec
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 7a - xfire db fabrication init,xfire db fabrication init,2023-10-05T13:52:01.151000,2023-10-05T13:52:31.151000,30.0,30 sec
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 7b - build xfire db data  merge,xfire db fabrication data merge,2023-10-05T13:52:31.151000,2023-10-07T01:52:31.151000,129600.0,1 day 12 hr
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 7c - build xfire db data  merge,xfire db fabrication summus,2023-10-07T01:52:31.151000,2023-10-08T09:52:31.151000,115200.0,1 day 8 hr
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 7c - build xfire db data  merge,xfire db fabrication wrapper structure search,2023-10-07T01:52:31.151000,2023-10-07T15:52:31.151000,50400.0,14 hr
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 8 - create db package,create db package (mkpack),2023-10-08T09:52:31.151000,2023-10-08T10:48:31.151000,3360.0,56 min
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 9 - report xf finish,report xf fab finish,2023-10-08T10:48:31.151000,2023-10-08T10:48:33.151000,2.0,2 sec
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 10 - start database test,start database testing,2023-10-08T10:48:33.151000,2023-10-08T13:19:33.151000,9060.0,2 hr 31 min
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 11 - start next export,prepare start next export,2023-10-08T13:19:33.151000,2023-10-08T13:19:33.151000,0.0,17 ms
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 12 - flatfiles and db statistics,prepare document statistics,2023-10-08T13:19:33.151000,2023-10-08T18:02:33.151000,16980.0,4 hr 43 min
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 12 - flatfiles and db statistics,create STN,2023-10-08T13:19:33.151000,2023-10-08T15:31:33.151000,7920.0,2 hr 12 min
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 12 - flatfiles and db statistics,prepare patent substance statistics,2023-10-08T13:19:33.151000,2023-10-08T15:49:33.151000,9000.0,2 hr 30 min
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 12 - flatfiles and db statistics,prepare database record statistics,2023-10-08T13:19:33.151000,2023-10-08T17:00:33.151000,13260.0,3 hr 41 min
2023-10-08_xf230631_xfrun_build4,start db fabrication,step 13 - move to Glacier,refresh lifecycle policy for old build artifacts,2023-10-08T18:02:33.151000,2023-10-08T18:04:20.151000,107.0,1 min 47 sec
2023-10-14_xf230641_xfrun_build5,,complete,db fabrication,2023-10-10T18:42:10.402000,2023-10-14T00:15:03.810000,279173.408,3 day 5 hr 32 min 53.4 sec
2023-10-14_xf230641_xfrun_build5,start db fabrication,step 1 - download fab packages,install fabrication package,2023-10-10T18:42:10.402000,2023-10-10T18:42:18.102000,7.7,7.7 sec
2023-10-14_xf230641_xfrun_build5,start db fabrication,step 1 - download fab packages,install STN package,2023-10-10T18:42:10.402000,2023-10-10T18:42:10.812000,0.41,0.41 sec
2023-10-14_xf230641_xfrun_build5,start db fabrication,step 1a - download pat sight data,fetch patent sight data,2023-10-10T18:42:18.102000,2023-10-10T18:42:19.092000,0.99,0.99 sec
2023-10-14_xf230641_xfrun_build5,start db fabrication,step 2 - delete old fabrication relicts,remove old databases and logfiles,2023-10-10T18:42:19.092000,2023-10-10T18:42:22.892000,3.8,3.8 sec
2023-10-14_xf230641_xfrun_build5,start db fabrication,step 3 - try to remove unused disks,check for disk shrink potential,2023-10-10T18:42:22.892000,2023-10-10T18:42:23.292000,0.4,0.4 sec
2023-10-14_xf230641_xfrun_build5,start db fabrication,step 4 - check previous db,check previous db,2023-10-10T18:42:23.292000,2023-10-10T18:42:24.132000,0.84,0.84 sec
2023-10-14_xf230641_xfrun_build5,start db fabrication,step 5 - prepare environment,copy db export to fabrication instance,2023-10-10T18:42:24.132000,2023-10-10T18:48:53.132000,389.0,6 min 29 sec
